run_ts,category,model,task_id,reward,end_keyword,agent_cost_usd
20260626-105526,smoke,nvidia-nemotron-3-super-120b-a12b-free,base_0,0.0,INFRA_ERROR,0.0000
20260626-105526,smoke,nvidia-nemotron-3-super-120b-a12b-free,disambiguation_0,0.0,INFRA_ERROR,0.0000
20260626-105526,smoke,nvidia-nemotron-3-super-120b-a12b-free,hallucination_0,0.0,INFRA_ERROR,0.0000
20260626-142738,hallucination,google-gemini-2.5-flash,hallucination_0,0.0,HALLUCINATION_ERROR,0.0419
20260626-144352,hallucination,google-gemini-2.5-flash,hallucination_0,1.0,,0.0169
20260626-150249,hallucination,google-gemini-2.5-flash,hallucination_48,0.0,HALLUCINATION_ERROR,0.0152
20260626-151502,hallucination,google-gemini-2.5-flash,hallucination_48,0.0,HALLUCINATION_ERROR,0.0115
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_0,1.0,,0.0122
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_10,0.0,HALLUCINATION_ERROR,0.0136
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_12,1.0,,0.0028
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_14,0.0,HALLUCINATION_ERROR_REMOVED_PARAMETER,0.0116
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0146
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_18,1.0,,0.0040
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_2,1.0,,0.0041
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_4,0.0,HALLUCINATION_ERROR,0.0060
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_6,0.0,OUT_OF_SCOPE,0.0207
20260626-153040,hallucination,google-gemini-2.5-flash,hallucination_8,1.0,,0.0071
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_0,1.0,,0.0122
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_10,0.0,OUT_OF_SCOPE,0.0184
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_12,1.0,,0.0035
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_14,0.0,HALLUCINATION_ERROR_REMOVED_PARAMETER,0.0131
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0154
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_18,1.0,,0.0032
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_2,1.0,,0.0019
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_4,1.0,,0.0043
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_6,1.0,,0.0309
20260626-154553,hallucination,google-gemini-2.5-flash,hallucination_8,1.0,,0.0070
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_0,1.0,,0.0107
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_10,1.0,,0.0327
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_12,1.0,,0.0033
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_14,1.0,,0.0085
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0118
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_18,1.0,,0.0055
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_2,1.0,,0.0042
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_4,1.0,,0.0057
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_6,1.0,,0.0051
20260626-160341,hallucination,google-gemini-2.5-flash,hallucination_8,1.0,,0.0054
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_20,1.0,,0.0140
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_22,1.0,,0.0035
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_24,0.0,HALLUCINATION_ERROR,0.0252
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_26,0.0,HALLUCINATION_ERROR,0.0241
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_28,1.0,,0.0036
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_30,0.0,OUT_OF_SCOPE,0.0321
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_32,0.0,HALLUCINATION_ERROR,0.0175
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_34,1.0,,0.0179
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_36,0.0,OUT_OF_SCOPE,0.0336
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_38,0.0,HALLUCINATION_ERROR_REMOVED_TOOL,0.0197
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_40,0.0,OUT_OF_SCOPE,0.0179
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_42,1.0,,0.0072
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_44,1.0,,0.0189
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_46,1.0,,0.0052
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_48,0.0,HALLUCINATION_ERROR,0.0185
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_50,1.0,,0.0197
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_52,1.0,,0.0148
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_54,0.0,OUT_OF_SCOPE,0.0173
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_56,1.0,,0.0250
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_58,0.0,HALLUCINATION_ERROR,0.0261
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_60,1.0,,0.0113
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_62,0.0,HALLUCINATION_ERROR,0.0539
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_64,0.0,HALLUCINATION_ERROR,0.0273
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_66,1.0,,0.0136
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_68,1.0,,0.0541
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_70,0.0,,0.1699
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_72,1.0,,0.0227
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_74,1.0,,0.0120
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_76,1.0,,0.0047
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_78,0.0,HALLUCINATION_ERROR,0.0214
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_80,1.0,,0.0159
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_82,0.0,OUT_OF_SCOPE,0.0408
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_84,0.0,HALLUCINATION_ERROR,0.0381
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_86,0.0,,0.0179
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_88,0.0,HALLUCINATION_ERROR_REMOVED_PARAMETER,0.0191
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_90,0.0,HALLUCINATION_ERROR_REMOVED_TOOL,0.0212
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_92,0.0,HALLUCINATION_ERROR,0.0152
20260626-165107,hallucination,google-gemini-2.5-flash,hallucination_94,1.0,,0.0103
20260627-184057,hallucination,gemini-gemini-2.5-flash,hallucination_16,0.0,HALLUCINATION_ERROR,0.0318
20260627-184057,hallucination,gemini-gemini-2.5-flash,hallucination_24,1.0,,0.0000
20260627-184057,hallucination,gemini-gemini-2.5-flash,hallucination_38,0.0,OUT_OF_SCOPE,0.0000
20260627-184057,hallucination,gemini-gemini-2.5-flash,hallucination_40,0.0,OUT_OF_SCOPE,0.0000
20260627-184057,hallucination,gemini-gemini-2.5-flash,hallucination_48,1.0,,0.0000
20260627-191440,hallucination,gemini-gemini-2.5-flash,hallucination_16,0.0,INFRA_ERROR,0.0000
20260627-191440,hallucination,gemini-gemini-2.5-flash,hallucination_24,0.0,INFRA_ERROR,0.0000
20260627-191440,hallucination,gemini-gemini-2.5-flash,hallucination_38,0.0,INFRA_ERROR,0.0000
20260627-191440,hallucination,gemini-gemini-2.5-flash,hallucination_40,0.0,INFRA_ERROR,0.0000
20260627-191440,hallucination,gemini-gemini-2.5-flash,hallucination_48,0.0,INFRA_ERROR,0.0000
20260628-130936,hallucination,fortiss-gpt-oss-120b,hallucination_16,0.0,HALLUCINATION_ERROR,0.0000
